id,date,happy
1456,9/27/2019 18:59,0
1457,9/27/2019 18:59,0
1458,9/27/2019 18:59,0
1459,9/27/2019 19:00,0
1460,9/27/2019 19:00,0
1461,9/27/2019 19:00,0
1462,9/27/2019 19:00,1
1463,9/27/2019 20:25,0
1464,9/27/2019 20:31,1
1465,9/27/2019 20:41,1
1466,9/30/2019 9:38,0
1467,9/30/2019 11:00,0
1468,9/30/2019 11:35,0
1469,9/30/2019 12:19,0
1470,9/30/2019 12:19,0
1471,9/30/2019 14:33,0
1472,9/30/2019 14:54,0
1473,9/30/2019 15:30,1
1474,9/30/2019 15:52,0
1475,9/30/2019 16:10,1
1476,9/30/2019 16:14,0
1477,9/30/2019 16:15,1
1478,9/30/2019 16:15,1
1479,9/30/2019 16:15,1
1480,9/30/2019 16:15,0
1481,9/30/2019 16:23,0
1482,10/1/2019 16:44,0
1483,10/1/2019 16:45,1
1484,10/1/2019 16:45,1
1485,10/1/2019 16:46,1
1486,10/1/2019 16:51,1
1487,10/1/2019 16:53,1
1488,10/1/2019 16:58,0
1489,10/1/2019 17:15,1
1490,10/1/2019 18:07,0
1491,10/1/2019 18:07,1
1492,10/1/2019 18:08,1
1493,10/1/2019 18:14,1
1494,10/2/2019 11:25,1
1495,10/2/2019 11:25,0
1496,10/2/2019 11:25,1
1497,10/2/2019 11:25,0
1498,10/2/2019 11:25,0
1499,10/2/2019 11:25,0
1500,10/2/2019 11:25,0
1501,10/2/2019 11:25,0
1502,10/2/2019 11:25,0
1503,10/2/2019 11:25,1
1504,10/2/2019 11:28,0
1505,10/2/2019 11:28,0
1506,10/2/2019 11:28,1
1507,10/2/2019 11:28,0
1508,10/2/2019 11:28,1
1509,10/2/2019 11:28,1
1510,10/2/2019 11:29,1
1511,10/2/2019 11:29,0
1512,10/2/2019 11:29,1
1513,10/2/2019 11:30,0
1514,10/2/2019 11:31,0
1515,10/2/2019 11:31,1
1516,10/2/2019 11:31,1
1517,10/2/2019 11:31,0
1518,10/2/2019 11:32,1
1519,10/2/2019 11:32,1
1520,10/2/2019 11:32,1
1521,10/2/2019 11:32,0
1522,10/2/2019 11:34,0
1523,10/2/2019 11:34,1
1524,10/2/2019 11:34,0
1525,10/2/2019 11:34,1
1526,10/2/2019 11:34,0
1527,10/2/2019 11:34,1
1528,10/2/2019 11:34,0
1529,10/2/2019 11:34,1
1530,10/2/2019 11:34,0
1531,10/2/2019 11:34,1
1532,10/2/2019 11:34,0
1533,10/2/2019 11:34,1
1534,10/2/2019 11:34,0
1535,10/2/2019 11:34,1
1536,10/2/2019 11:34,0
1537,10/2/2019 11:35,1
1538,10/2/2019 11:35,0
1539,10/2/2019 11:35,1
1540,10/2/2019 11:35,0
1541,10/2/2019 11:35,1
1542,10/2/2019 11:35,0
1543,10/2/2019 11:35,1
1544,10/2/2019 11:35,0
1545,10/2/2019 11:35,1
1546,10/2/2019 11:35,0
1547,10/2/2019 11:35,1
1548,10/2/2019 11:35,0
1549,10/2/2019 11:35,1
1550,10/2/2019 11:35,1
1551,10/2/2019 11:35,0
1552,10/2/2019 11:35,1
1553,10/2/2019 11:35,0
1554,10/2/2019 11:35,1
1555,10/2/2019 11:35,0
1556,10/2/2019 11:35,1
1557,10/2/2019 11:35,0
1558,10/2/2019 11:35,1
1559,10/2/2019 11:35,0
1560,10/2/2019 11:35,1
1561,10/2/2019 11:35,0
1562,10/2/2019 11:35,1
1563,10/2/2019 11:35,0
1564,10/2/2019 11:35,1
1565,10/2/2019 11:35,0
1566,10/2/2019 11:35,1
1567,10/2/2019 11:35,0
1568,10/2/2019 11:35,1
1569,10/2/2019 11:41,1
1570,10/2/2019 11:41,1
1571,10/2/2019 11:41,0
1572,10/2/2019 11:42,1
1573,10/2/2019 11:42,1
1574,10/2/2019 11:51,0
1575,10/2/2019 11:58,0
1576,10/2/2019 11:58,0
1577,10/2/2019 11:59,1
1578,10/2/2019 11:59,1
1579,10/2/2019 11:59,1
1580,10/2/2019 11:59,1
1581,10/2/2019 11:59,1
1582,10/2/2019 11:59,1
1583,10/2/2019 11:59,1
1584,10/2/2019 11:59,1
1585,10/2/2019 11:59,1
1586,10/2/2019 11:59,1
1587,10/2/2019 11:59,1
1588,10/2/2019 11:59,1
1589,10/2/2019 11:59,1
1590,10/2/2019 11:59,1
1591,10/2/2019 11:59,1
1592,10/2/2019 11:59,1
1593,10/2/2019 11:59,1
1594,10/2/2019 11:59,1
1595,10/2/2019 11:59,1
1596,10/2/2019 11:59,1
1597,10/2/2019 11:59,1
1598,10/2/2019 11:59,1
1599,10/2/2019 11:59,1
1600,10/2/2019 12:44,1
1601,10/2/2019 12:44,1
1602,10/2/2019 12:44,1
1603,10/2/2019 12:44,1
1604,10/2/2019 12:44,1
1605,10/2/2019 12:44,1
1606,10/2/2019 12:44,1
1607,10/2/2019 12:44,1
1608,10/2/2019 12:44,1
1609,10/2/2019 12:44,1
1610,10/2/2019 12:44,0
1611,10/2/2019 12:44,1
1612,10/2/2019 12:45,1
1613,10/2/2019 12:45,1
1614,10/2/2019 12:47,1
1615,10/2/2019 12:47,1
1616,10/2/2019 12:48,0
1617,10/2/2019 12:48,0
1618,10/2/2019 12:48,0
1619,10/2/2019 12:48,0
1620,10/2/2019 12:49,0
1621,10/2/2019 12:49,0
1622,10/2/2019 12:49,0
1623,10/2/2019 12:49,0
1624,10/2/2019 12:49,0
1625,10/2/2019 12:49,0
1626,10/2/2019 12:50,0
1627,10/2/2019 12:50,0
1628,10/2/2019 12:50,0
1629,10/2/2019 12:51,0
1630,10/2/2019 12:51,0
1631,10/2/2019 12:53,0
1632,10/2/2019 12:53,0
1633,10/2/2019 12:53,0
1634,10/2/2019 12:53,0
1635,10/2/2019 12:54,1
1636,10/2/2019 12:55,0
1637,10/2/2019 12:55,0
1638,10/2/2019 12:55,0
1639,10/2/2019 12:55,1
1640,10/2/2019 12:55,0
1641,10/2/2019 13:02,0
1642,10/2/2019 13:11,1
1643,10/2/2019 13:11,0
1644,10/2/2019 13:25,0
1645,10/2/2019 13:25,1
1646,10/2/2019 13:26,1
1647,10/2/2019 13:27,0
1648,10/2/2019 13:27,0
1649,10/2/2019 13:27,0
1650,10/2/2019 13:27,0
1651,10/2/2019 13:27,0
1652,10/2/2019 13:27,0
1653,10/2/2019 13:27,0
1654,10/2/2019 13:27,1
1655,10/2/2019 13:27,1
1656,10/2/2019 13:28,0
1657,10/2/2019 13:28,0
1658,10/2/2019 13:28,0
1659,10/2/2019 13:28,0
1660,10/2/2019 13:33,0
1661,10/2/2019 13:33,0
1662,10/2/2019 13:33,0
1663,10/2/2019 13:33,0
1664,10/2/2019 13:33,0
1665,10/2/2019 13:35,0
1666,10/2/2019 13:35,0
1667,10/2/2019 13:38,0
1668,10/2/2019 13:46,1
1669,10/2/2019 14:14,0
1670,10/2/2019 14:19,0
1671,10/2/2019 14:19,0
1672,10/2/2019 14:20,0
1673,10/2/2019 14:21,0
1674,10/2/2019 14:21,0
1675,10/2/2019 14:22,1
1676,10/2/2019 14:22,0
1677,10/2/2019 14:22,0
1678,10/2/2019 14:22,0
1679,10/2/2019 14:22,0
1680,10/2/2019 14:22,0
1681,10/2/2019 14:22,1
1682,10/2/2019 14:22,0
1683,10/2/2019 14:23,0
1684,10/2/2019 14:23,1
1685,10/2/2019 14:23,0
1686,10/2/2019 14:29,0
1687,10/2/2019 14:30,0
1688,10/2/2019 14:30,0
1689,10/2/2019 14:31,0
1690,10/2/2019 14:31,0
1691,10/2/2019 14:31,0
1692,10/2/2019 14:31,0
1693,10/2/2019 14:31,0
1694,10/2/2019 14:33,0
1695,10/2/2019 14:40,1
1696,10/2/2019 14:41,0
1697,10/2/2019 14:41,0
1698,10/2/2019 14:41,0
1699,10/2/2019 14:41,0
1700,10/2/2019 14:41,0
1701,10/2/2019 14:41,0
1702,10/2/2019 14:42,0
1703,10/2/2019 14:43,0
1704,10/2/2019 14:46,0
1705,10/2/2019 14:52,1
1706,10/2/2019 14:53,0
1707,10/2/2019 14:53,1
1708,10/2/2019 14:53,1
1709,10/2/2019 14:53,0
1710,10/2/2019 14:53,1
1711,10/2/2019 14:53,0
1712,10/2/2019 14:57,0
1713,10/2/2019 14:57,0
1714,10/2/2019 14:57,0
1715,10/2/2019 15:00,1
1716,10/2/2019 15:16,1
1717,10/2/2019 15:16,1
1718,10/2/2019 15:21,0
1719,10/2/2019 15:41,1
1720,10/2/2019 15:41,0
1721,10/2/2019 15:41,0
1722,10/2/2019 15:47,0
1723,10/2/2019 15:48,1
1724,10/2/2019 15:49,1
1725,10/2/2019 15:49,1
1726,10/2/2019 15:49,1
1727,10/2/2019 15:49,1
1728,10/2/2019 16:14,1
1729,10/2/2019 16:38,0
1730,10/2/2019 16:38,0
1731,10/2/2019 16:38,0
1732,10/2/2019 16:38,0
1733,10/2/2019 16:38,0
1734,10/2/2019 16:38,0
1735,10/2/2019 16:38,0
1736,10/2/2019 16:38,0
1737,10/2/2019 16:38,0
1738,10/2/2019 16:38,0
1739,10/2/2019 16:38,0
1740,10/2/2019 16:38,0
1741,10/2/2019 16:38,0
1742,10/2/2019 16:38,0
1743,10/2/2019 16:38,0
1744,10/2/2019 16:38,0
1745,10/2/2019 16:38,0
1746,10/2/2019 16:38,0
1747,10/2/2019 16:38,0
1748,10/2/2019 16:38,0
1749,10/2/2019 16:38,0
1750,10/2/2019 16:38,0
1751,10/2/2019 16:38,1
1752,10/2/2019 16:38,1
1753,10/2/2019 16:38,1
1754,10/2/2019 16:38,1
1755,10/2/2019 16:39,1
1756,10/2/2019 16:39,1
1757,10/2/2019 16:39,1
1758,10/2/2019 16:39,0
1759,10/2/2019 16:39,1
1760,10/2/2019 16:39,0
1761,10/2/2019 16:39,1
1762,10/2/2019 16:39,0
1763,10/2/2019 16:39,1
1764,10/2/2019 16:39,1
1765,10/2/2019 16:39,1
1766,10/2/2019 16:39,0
1767,10/2/2019 16:39,1
1768,10/2/2019 16:39,0
1769,10/2/2019 16:39,1
1770,10/2/2019 16:39,1
1771,10/2/2019 16:39,0
1772,10/2/2019 16:39,1
1773,10/2/2019 16:39,0
1774,10/2/2019 16:39,1
1775,10/2/2019 16:39,1
1776,10/2/2019 16:39,0
1777,10/2/2019 16:39,1
1778,10/2/2019 16:40,1
1779,10/2/2019 16:40,0
1780,10/2/2019 16:40,1
1781,10/2/2019 16:40,1
1782,10/2/2019 16:40,0
1783,10/2/2019 16:40,1
1784,10/2/2019 16:43,1
1785,10/2/2019 16:44,1
1786,10/2/2019 16:44,0
1787,10/2/2019 16:44,0
1788,10/2/2019 16:44,1
1789,10/2/2019 16:44,0
1790,10/2/2019 16:44,0
1791,10/2/2019 16:44,0
1792,10/2/2019 16:44,0
1793,10/2/2019 16:44,1
1794,10/2/2019 16:44,0
1795,10/2/2019 16:44,0
1796,10/2/2019 16:44,1
1797,10/2/2019 16:44,1
1798,10/2/2019 16:44,1
1799,10/2/2019 16:44,1
1800,10/2/2019 16:44,1
1801,10/2/2019 16:44,1
1802,10/2/2019 16:44,1
1803,10/2/2019 16:44,0
1804,10/2/2019 16:44,0
1805,10/2/2019 16:46,1
1806,10/2/2019 16:47,0
1807,10/2/2019 16:47,0
1808,10/2/2019 16:47,1
1809,10/2/2019 16:47,0
1810,10/2/2019 16:47,0
1811,10/2/2019 16:55,1
1812,10/2/2019 16:55,0
1813,10/2/2019 16:55,0
1814,10/2/2019 16:55,0
1815,10/2/2019 16:55,0
1816,10/2/2019 16:55,0
1817,10/2/2019 16:55,0
1818,10/2/2019 16:55,0
1819,10/2/2019 16:55,0
1820,10/2/2019 17:02,1
1821,10/2/2019 17:02,1
1822,10/2/2019 17:02,1
1823,10/2/2019 17:15,0
1824,10/2/2019 17:15,0
1825,10/2/2019 17:15,1
1826,10/2/2019 18:19,0
1827,10/2/2019 18:20,1
1828,10/2/2019 18:20,0
1829,10/2/2019 18:20,1
1830,10/2/2019 18:20,0
1831,10/2/2019 18:20,1
1832,10/2/2019 18:20,0
1833,10/2/2019 18:20,0
1834,10/2/2019 18:20,0
1835,10/2/2019 18:20,0
1836,10/2/2019 18:20,0
1837,10/2/2019 18:20,0
1838,10/2/2019 18:20,0
1839,10/2/2019 18:20,0
1840,10/2/2019 18:20,1
1841,10/2/2019 18:20,1
